id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
254291,Finca Placencia oceanfront Private Beach House,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53023,-88.36103,Entire home/apt,252,2,103,1/27/2021,0.97,3,334
261882,Finca Placencia oceanfront private BeachCabana,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53005,-88.36139,Entire home/apt,222,1,151,3/3/2020,1.38,3,340
265173,D'Nest Inn  ( Kiskadee Nest).,1391098,Gabriel,Belize,Belize Mainland,17.50709,-88.22189,Hotel room,133,1,113,8/1/2019,1.13,3,331
308361,Villa San Juan,1586187,Jorge Omar,Cayo,Cayo,17.25812,-88.77895,Private room,210,1,4,8/24/2018,0.05,1,365
332447,Cabana #4 (Hobbit House) at Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,212,1,99,3/15/2020,0.92,14,346
419134,AQUA Cabana + FREE Wine (1 bottle)*,2084006,Lower Dover,Cayo,Cayo,17.20777,-88.9461,Private room,119,1,21,3/4/2020,0.25,4,0
519424,"Close to downtown San Ignacio, private bath & room",2556131,Shamera,Cayo,Cayo,17.15555,-89.07035,Private room,121,1,120,8/1/2019,1.2,3,241
521581,Heart of Belize City: Live-Work-Play,345885,Melissa,Belize,Belize Mainland,17.50751,-88.18791,Entire home/apt,482,4,3,2/1/2020,0.03,4,365
580189,Howler House: A romantic riverside treehouse,190152663,Shana,Belize,Belize Mainland,17.57301,-88.39663,Entire home/apt,242,1,133,3/14/2020,1.35,1,354
591211,Casa Belize - Cozy Studio Apartment,2917510,Carolyn,Belize,Belize Mainland,17.50955,-88.22414,Entire home/apt,151,3,23,5/17/2019,0.24,6,365
597282,Sunny Cabana in Tropical Yard,157752,Monique,Belize,Belize Islands,17.73747,-88.02736,Entire home/apt,121,3,175,2/3/2021,1.77,5,95
601962,"Stunning, two bed/two bath- air con, bikes & pool",733857,Jacki,Stann Creek,Stann Creek Mainland,16.52545,-88.37077,Entire home/apt,296,7,50,3/18/2020,0.52,5,56
736308,Beautiful Waterfront Casita! Belize is Open!,3843219,Karen & Pernell,Corozal,Corozal,18.32931,-88.32932,Entire home/apt,260,1,37,2/18/2021,0.42,1,365
788130,Home Away From Home Desirable Area,2917510,Carolyn,Belize,Belize Mainland,17.51132,-88.22517,Entire home/apt,353,2,52,11/1/2020,0.74,6,11
819238,Ocean View Suite #9 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73653,-88.02639,Entire home/apt,274,1,9,10/18/2019,0.11,14,336
819686,Oceanview Suite #10 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73577,-88.02667,Entire home/apt,242,1,10,3/1/2020,0.11,14,332
985520,Comfy Cabana Tropical Caye Caulker,2267459,Tropical Dreams,Belize,Belize Islands,17.74074,-88.02704,Entire home/apt,181,2,155,3/8/2020,1.79,5,320
1051976,Casa Fabro Belize - Vacation Rental,5792357,Teresita,Belize,Belize Mainland,17.49047,-88.18598,Entire home/apt,199,2,47,12/23/2019,0.63,1,343
1111731,"Sail Belize on Doris, a 50ft Lagoon 500 Catamaran",6101757,Clifford,Belize,Belize Mainland,17.47288,-88.24754,Entire home/apt,3126,4,0,,,9,365
1134575,"Bay Breezes apt #2, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,89,1,162,3/18/2020,1.73,10,365
1134718,"Bay Breezes apt #1, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,109,1,121,3/14/2020,1.32,10,365
1135021,"Bay Breezes apt #3, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,109,1,155,3/1/2020,1.63,10,365
1135078,"Bay Breezes apt #4, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,89,1,138,3/13/2020,1.55,10,1
1150391,Fraser's Way Bullet Tree Falls Cayo,2700257,Deborah,Cayo,Cayo,17.17136,-89.11367,Entire home/apt,131,3,22,4/1/2018,0.25,1,363
1177282,Belize Waterfront - Orchid Bay Casita 9A,6441582,Jeff And Debi,Corozal,Corozal,18.32853,-88.32882,Entire home/apt,252,2,33,12/8/2020,0.36,1,0
1187309,"Casa Belize,Cozy, Spacious Getaway",2917510,Carolyn,Belize,Belize Mainland,17.5098,-88.22347,Entire home/apt,262,2,18,11/9/2020,0.34,6,89
1296732,Colonial Farm House/Organic Farm,7050240,Chris,Stann Creek,Stann Creek Mainland,17.0114,-88.47726,Entire home/apt,171,2,86,3/17/2020,1.01,1,358
1305154,*Peaceful Garden Studio @ Picololo *Gold Standard*,727841,Hilary & Pike,Belize,Belize Islands,17.73786,-88.02817,Entire home/apt,135,3,160,1/26/2021,1.83,4,278
1307280,Peaceful Garden Studio at Picololo *Gold Standard*,727841,Hilary & Pike,Belize,Belize Islands,17.73791,-88.02814,Entire home/apt,135,3,194,1/15/2021,2.23,4,295
1307349,Charming Garden Studio at Picololo *Gold Standard*,727841,Hilary & Pike,Belize,Belize Islands,17.73805,-88.02828,Entire home/apt,115,3,163,1/3/2021,1.87,4,306
1387964,Sea Cottage with Swimming Pool/AC/Access to Private Dock,7508502,Debbie,Belize,Belize Islands,17.73469,-88.02948,Entire home/apt,216,2,114,2/29/2020,1.39,6,359
1432085,Hummingbird Pool House 2 bedroom cabin,604999,Bobbi,Belize,Belize Islands,17.73675,-88.0285,Entire home/apt,226,1,64,1/24/2021,0.8,22,1
1443152,Gold Standard. The penthouse suite.,3726010,Diana,Belize,Belize Islands,17.90524,-87.98218,Entire home/apt,95,1,235,1/30/2021,2.65,7,321
1464289,Hidden Gem Cabana with Large Swimming Pool/Private Dock-Beach access,7508502,Debbie,Belize,Belize Islands,17.73699,-88.02942,Entire home/apt,280,2,133,2/11/2021,1.47,6,326
1503151,Weezie's Pink Cottage with a pool,6334784,Tom,Belize,Belize Islands,17.73728,-88.02773,Hotel room,341,2,24,3/29/2019,0.33,11,329
1557575,2 BEDROOMS APT CLOSE TO DOWNTOWN SAN IGNACIO,2556131,Shamera,Cayo,Cayo,17.15539,-89.06935,Entire home/apt,131,1,6,1/31/2020,0.18,3,197
1572640,Hummingbird Pink 2 bedroom detached cabin,604999,Bobbi,Belize,Belize Islands,17.73698,-88.02831,Entire home/apt,234,2,59,2/17/2020,0.83,22,358
1635819,The Bottle Tree House (formerly Villa Almendra),8690154,J. David,Belize,Belize Islands,17.73726,-88.02812,Entire home/apt,320,2,33,3/8/2020,0.58,1,0
1649687,Bullet Tree River Paradise,8750607,Lucy,Cayo,Cayo,17.17487,-89.10824,Entire home/apt,141,2,0,,,1,83
1661061,"Amanda's Place Uno, Studio with Pool and Seaviews",8801829,Amanda,Belize,Belize Islands,17.74154,-88.02421,Entire home/apt,179,2,166,2/17/2021,1.88,5,1
1678528,El Chiclero Inn - Room #2,7521352,Daphne,Belize,Belize Mainland,17.56439,-88.4049,Private room,121,1,4,2/27/2016,0.05,1,365
1704141,"""SunsetBeach C3!"" 3 brm/Private pool/WiFi/AC/Views",8996514,Cathy,Belize,Belize Islands,17.89126,-87.97988,Entire home/apt,467,3,8,11/26/2019,0.09,11,330
1707764,"C1 GoldStandard 3BR porch,beach, pool,bikes,kayaks",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,467,3,10,1/6/2019,0.14,22,313
1731678,"Yaxche Jungle Camp, Private Cabins",6960726,Yaxche Jungle Camp,Cayo,Cayo,17.14979,-88.66512,Private room,135,1,81,5/7/2019,0.92,2,365
1773650,Full size suites,9315171,Julia,Belize,Belize Mainland,17.51569,-88.22227,Private room,71,1,41,2/29/2020,0.48,10,365
1773770,King size suite,9315171,Julia,Belize,Belize Mainland,17.51505,-88.22209,Private room,91,1,38,4/3/2019,0.45,10,365
1798242,Chila's Beach Studio / Gold Standard,9430792,Chila,Belize,Belize Islands,17.7477,-88.02395,Entire home/apt,151,2,206,3/16/2020,2.36,6,352
1802882,Tourism Gold Standard Bamboleo Inn  by the Airport,9451825,Cathy And Daniel,Belize,Belize Mainland,17.55869,-88.28442,Hotel room,195,1,2,3/11/2020,0.03,6,335
1847763,"B2 Gold Standard 3BR: beach, bikes, kayaks, pool!",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,467,3,7,7/9/2019,0.11,22,0
1877094,"A6 Gold Standard 3BR: beach, bikes, kayaks, pool!",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,467,3,21,3/16/2020,0.26,22,350
1923992,Axios  Vacation Apartments Caye Caulker,9968080,Alexis & Scott,Belize,Belize Islands,17.74377,-88.02538,Entire home/apt,85,1,80,12/5/2019,0.92,11,365
1934636,Belize River house with Tree house,4666324,Val,Belize,Belize Mainland,17.56977,-88.41272,Entire home/apt,343,3,9,11/1/2015,0.11,1,364
1943235,Placencia Belize Canal Front House,10051420,Lynne,Stann Creek,Stann Creek Mainland,16.50967,-88.37344,Entire home/apt,60,30,2,4/30/2019,0.03,1,359
1958217,"A2 Gold Standard 1BR-pool, beach, kayaks, bikes!",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,394,3,18,2/5/2020,0.25,22,274
1959706,"C3 Gold Standard 3BR kayaks, bikes, beach, pool!",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,467,3,19,1/10/2020,0.23,22,328
1982878,Tourism Gold Standard Bamboleo Inn  by the Airport,9451825,Cathy And Daniel,Belize,Belize Mainland,17.55828,-88.28582,Hotel room,195,1,49,12/25/2019,0.57,6,335
2022481,"""SunsetBeach A4!""- 2 balconies/ground & 2nd floor",8996514,Cathy,Belize,Belize Islands,17.89035,-87.98011,Entire home/apt,467,3,12,1/18/2020,0.15,11,348
2050451,Weezie's Yellow Cottage with pool,6334784,Tom,Belize,Belize Islands,17.73809,-88.02915,Hotel room,401,3,18,7/9/2019,0.21,11,326
2060320,Marin's Guesthouse Sun Units,10546084,Michele,Belize,Belize Islands,17.74086,-88.02416,Entire home/apt,151,2,52,3/9/2020,0.62,7,61
2090859,"Seahorse Cabana with Swimming Pool, Access to Private Dock/Beach Area",7508502,Debbie,Belize,Belize Islands,17.73608,-88.02981,Entire home/apt,246,2,135,7/4/2020,1.62,6,348
2095863,Beautiful ArtisticTropical Home,10691980,Christopher,Toledo,Toledo Mainland,16.09454,-88.92282,Entire home/apt,403,2,0,,,1,0
2097898,The Mayan Loft @ Maruba Resort,10700587,Franziska,Belize,Belize Mainland,17.89975,-88.32787,Entire home/apt,611,1,4,11/5/2018,0.08,2,365
2208686,The Chapel Bungalow @ Maruba Resort,10700587,Franziska,Belize,Belize Mainland,17.91337,-88.34102,Entire home/apt,683,1,1,1/18/2017,0.02,2,365
2279129,Penthouse Paradise on the Ocean NEW,11638943,John And Paragi,Stann Creek,Stann Creek Mainland,16.83005,-88.2664,Entire home/apt,260,3,2,4/7/2015,0.02,2,361
2295142,Stunning Ocean Front PRIVATE Beach,11638943,John And Paragi,Stann Creek,Stann Creek Mainland,16.81686,-88.26285,Entire home/apt,1207,3,4,12/27/2019,0.05,2,361
2303896,"Gorgeous apt-kitchen, air con, pool, bikes & vus",733857,Jacki,Stann Creek,Stann Creek Mainland,16.52558,-88.36894,Entire home/apt,188,7,11,1/1/2020,0.18,5,243
2371985,Tropical hideaway with private pool,12117378,Yvonne,Belize,Belize Islands,17.735,-88.02825,Entire home/apt,262,3,53,1/12/2020,0.64,1,1
2413466,"A3Gold Standard-pool, beach, & sea out front door!",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.89048,-87.97984,Entire home/apt,371,3,11,3/8/2020,0.15,22,337
2419476,"C2 Gold Standard 3BR beach, pool, bikes, kayaks!",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.89115,-87.97997,Entire home/apt,467,3,7,1/21/2020,0.09,22,319
2451606,Beautiful Beachfront Belize 3 Bed/2 Bath Villa,12535449,Deb,Belize,Belize Islands,17.87822,-87.99603,Entire home/apt,913,3,2,3/9/2019,0.03,2,348
2453137,ALTA VISTA Tropical Island Home,9430792,Chila,Belize,Belize Islands,17.73779,-88.02897,Entire home/apt,181,2,110,3/12/2020,1.31,6,363
2471874,Modern 1 BD With All Amenities,2917510,Carolyn,Belize,Belize Mainland,17.51102,-88.22529,Entire home/apt,202,2,6,1/12/2020,0.08,6,0
2473882,Cottage,817242,Michael,Cayo,Cayo,17.16479,-89.07013,Private room,191,1,59,12/7/2019,0.79,8,363
2515673,"""SunsetBeach C2!"" 3 brm/Oceanfront/WiFi/AC/Kayaks",8996514,Cathy,Belize,Belize Islands,17.89001,-87.97969,Entire home/apt,403,3,5,3/6/2017,0.06,11,245
2516046,"""Sunset Beach A2!"" one bdrm!- WiFi/AC/bikes/kayaks",8996514,Cathy,Belize,Belize Islands,17.89076,-87.98055,Entire home/apt,371,3,1,1/8/2015,0.01,11,273
2520748,"SunsetBeach C1!- Beach level, oceanfront, Safe!",8996514,Cathy,Belize,Belize Islands,17.91149,-87.97207,Entire home/apt,467,3,6,4/20/2019,0.09,11,313
2521039,"""SunsetBeach B2!"" 3 brm/AC/WiFi/kayaks/bikes/pool",8996514,Cathy,Belize,Belize Islands,17.88958,-87.98133,Entire home/apt,467,3,3,6/13/2018,0.06,11,312
2545076,Chiquibul Ranch - Jungle Home,13006345,Karen,Cayo,Cayo,17.11537,-88.96441,Entire home/apt,97,2,111,1/28/2020,1.34,1,32
2551398,"""SunsetBeach A3!"" 1 brm groundfloor/WiFi/AC/kayaks",8996514,Cathy,Belize,Belize Islands,17.89084,-87.97923,Entire home/apt,371,3,7,3/19/2019,0.11,11,337
2559009,"Beach Front, shared dock with our other guests, private pool, close to town",13100806,Tim,Belize,Belize Islands,17.73628,-88.02624,Entire home/apt,699,2,74,2/25/2020,0.89,13,335
2559733,"Beach Front, shared dock with our other guests, private pool, close to town",13100806,Tim,Belize,Belize Islands,17.73708,-88.02649,Entire home/apt,419,2,37,9/7/2019,0.44,13,335
2564938,"""Sunset Beach A5!"" Family Friendly/ 2 balconies",8996514,Cathy,Belize,Belize Islands,17.89064,-87.98091,Entire home/apt,467,3,2,7/15/2017,0.04,11,364
2597828,"A4 Gold Standard: bikes, kayaks, beach, pool,more!",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.89207,-87.97903,Entire home/apt,467,3,11,12/7/2019,0.15,22,349
2607709,"B1 GoldStandard 3BR:beach,porch,pool, bikes,kayaks",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.89198,-87.97914,Entire home/apt,467,3,18,2/23/2021,0.26,22,187
2608804,Welcome To a world of adventure!,13360987,Adam,Belize,Belize Mainland,17.77797,-88.32021,Private room,151,1,0,,,1,363
2614882,"""SunsetBeach B1"" - 3 brm/Beach level/WiFi/AC/bikes",8996514,Cathy,Belize,Belize Islands,17.89035,-87.98003,Entire home/apt,467,3,11,6/28/2019,0.22,11,188
2671908,Private Room close to town!,13678150,Hector,Cayo,Cayo,17.15647,-89.0643,Private room,71,1,83,3/16/2020,1.11,5,0
2677601,Finca Beachfront House and Cabana,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.5305,-88.36022,Entire home/apt,449,3,12,7/6/2019,0.15,3,320
2710617,Private room in a Belizean home,13678150,Hector,Cayo,Cayo,17.15893,-89.06266,Private room,99,1,62,3/15/2020,0.99,5,0
2715439,Avana Villa - Penthouse,13895184,Murray And Martha,Cayo,Cayo,17.1318,-89.11323,Private room,161,2,20,1/2/2020,0.32,2,359
2746814,OASI Apartment Rentals Apt #4,14053182,Luciana,Belize,Belize Islands,17.73634,-88.02801,Entire home/apt,262,2,85,2/24/2020,1.13,4,362
2751904,OASI Apartment Rentals Apt #3,14053182,Luciana,Belize,Belize Islands,17.73585,-88.02804,Entire home/apt,252,2,110,3/1/2020,1.38,4,362
2752709,Cosmopolitan Guest House,14080482,Emily Peggy,Stann Creek,Stann Creek Mainland,16.85079,-88.27968,Private room,141,2,38,3/4/2020,0.47,1,365
2811841,OASI Apartment Rentals Apt #1,14053182,Luciana,Belize,Belize Islands,17.73634,-88.02801,Entire home/apt,213,2,101,2/24/2020,1.23,4,362
2818134,Beautiful Views and Near the Beach!,6562410,Brenda,Stann Creek,Stann Creek Mainland,16.83998,-88.27202,Entire home/apt,252,3,9,3/22/2016,0.11,1,365
2845861,Waterfront property with amazing sunsets!,10998068,Herbert,Stann Creek,Stann Creek Mainland,16.61237,-88.35625,Entire home/apt,171,1,11,7/4/2019,0.23,5,334
2864571,"""SunsetBeach A6!""- 2 balconies/oceanfront/WiFi/AC",8996514,Cathy,Belize,Belize Islands,17.89111,-87.98126,Entire home/apt,467,3,1,4/21/2015,0.01,11,349
2947838,Dolce Cabana cozy 1BR with full kitchen & pool,15048631,Nicole,Stann Creek,Stann Creek Mainland,16.5207,-88.37208,Entire home/apt,179,3,68,1/17/2021,0.96,3,305
2967946,"Beach and dock access, private pool, AC, Free Wifi, close to town",13100806,Tim,Belize,Belize Islands,17.73691,-88.02601,Entire home/apt,607,2,69,1/11/2020,0.84,13,333
3075450,Single room,9315171,Julia,Belize,Belize Mainland,17.51601,-88.22208,Private room,77,1,16,3/31/2018,0.2,10,365
3162480,Chez Caribe Sundancer Studio,14974830,Jack,Belize,Belize Islands,17.91205,-87.97285,Private room,119,1,109,4/1/2020,1.35,6,365
3220246,Air Conditioned 1 bedroom Apartment,9968080,Alexis & Scott,Belize,Belize Islands,17.74426,-88.02458,Entire home/apt,77,1,116,1/10/2021,1.43,11,177
3248228,Dove Nest,1391098,Gabriel,Belize,Belize Mainland,17.50961,-88.22351,Private room,153,1,12,2/26/2020,0.16,3,332
3307135,"A5 GoldStandard condo-beach, balconies, views,pool",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.8922,-87.97889,Entire home/apt,467,3,1,12/17/2018,0.04,22,1
3506441,Chez Caribe Tortuga Studio,14974830,Jack,Belize,Belize Islands,17.9106,-87.97265,Private room,119,1,55,11/13/2020,0.7,6,365
3594049,El Gran Mestizo premium romantic riverside cabin,18105807,Orlando,Orange Walk,Orange Walk,18.06982,-88.55494,Entire home/apt,161,1,41,3/12/2020,0.54,3,365
3702090,15% Off! 6 BDRM VILLA w/ STAFF,8003973,Corrina,Belize,Belize Islands,17.92547,-87.98256,Entire home/apt,1610,1,27,2/9/2021,0.42,13,280
3704445,OASI Apartment Rentals Apt. #2,14053182,Luciana,Belize,Belize Islands,17.73634,-88.02801,Entire home/apt,242,1,160,3/14/2020,2.11,4,362
3789407,"Blue Tang Inn, San Pedro Town",19450284,Kristin,Belize,Belize Islands,17.91999,-87.9619,Private room,252,1,7,1/29/2021,0.14,1,266
3849201,Spare Room,817242,Michael,Cayo,Cayo,17.16365,-89.06944,Private room,101,1,127,2/28/2020,1.63,8,223
3904267,Hummingbird Purple,604999,Bobbi,Belize,Belize Islands,17.73696,-88.02821,Entire home/apt,159,2,64,2/3/2020,0.82,22,0
3905945,Hummingbird Annex,604999,Bobbi,Belize,Belize Islands,17.73609,-88.02876,Entire home/apt,140,2,77,2/12/2020,1.01,22,335
3930450,Casita Verde,817242,Michael,Cayo,Cayo,17.16406,-89.06907,Entire home/apt,419,1,26,6/20/2018,0.33,8,348
3987214,Leeside Casa Del Sol/ READ ALL BEFORE BOOKING,20666628,Tracy,Belize,Belize Islands,17.74355,-88.02608,Entire home/apt,242,3,63,2/16/2020,0.82,2,365
3987729,Leeside Rooms (Double Room) READ ALL BEFORE BOOK,20666628,Tracy,Belize,Belize Islands,17.74545,-88.02507,Private room,191,2,159,3/13/2020,2.12,2,365
4005831,"Home away from home,  Shared dormitory, NO AC",9315171,Julia,Belize,Belize Mainland,17.51482,-88.22233,Private room,20,1,2,3/1/2020,0.03,10,365
4006269,Revas Pearl - Two bedroom home,261868426,Cindy,Stann Creek,Stann Creek Mainland,16.62038,-88.35272,Entire home/apt,232,3,18,12/5/2019,0.28,1,266
4021234,THE IGUANA HOUSE,20847705,Chris,Belize,Belize Islands,17.95979,-87.93392,Entire home/apt,1088,5,53,3/16/2020,0.7,1,345
4061124,"Cozy Lake View studio. Near airport, AC, free wifi",21064904,Tessa,Belize,Belize Mainland,17.59025,-88.32157,Entire home/apt,71,1,23,11/23/2020,0.74,2,364
4077546,Avana Villa- Garden Suite,13895184,Murray And Martha,Cayo,Cayo,17.15485,-89.06936,Private room,131,2,30,1/28/2020,0.39,2,365
4121595,Cozy 2 BDR cabana with pool and A/C - Starfish,2267459,Tropical Dreams,Belize,Belize Islands,17.73972,-88.02534,Entire home/apt,181,2,116,12/27/2020,1.54,5,357
4121839,Charming 1 BDR w/ full kitchen - Conch Cabana,2267459,Tropical Dreams,Belize,Belize Islands,17.73732,-88.02644,Entire home/apt,101,2,55,2/14/2021,0.73,5,364
4149342,LUXE 4 BEDROOM VILLA W /STAFF,8003973,Corrina,Belize,Belize Islands,17.92227,-87.98277,Entire home/apt,1451,3,25,12/29/2019,0.33,13,335
4172736,Dolce Cabana spacious 1BR waterfront with pool,15048631,Nicole,Stann Creek,Stann Creek Mainland,16.52037,-88.37245,Entire home/apt,179,2,69,2/16/2021,0.92,3,239
4190986,1 BR Baby Blue Cabana,12934670,Mirko,Stann Creek,Stann Creek Mainland,16.85934,-88.28219,Entire home/apt,218,2,5,2/17/2019,0.11,1,351
4208385,"Multiple beach condos-great for groups, weddings!",1120393,"Barbara, Belize & Colombia",Belize,Belize Islands,17.89232,-87.9789,Entire home/apt,935,3,7,4/28/2019,0.12,22,362
4224906,Private Caribbean Seafront Luxury Villa with Pool,10998068,Herbert,Stann Creek,Stann Creek Mainland,16.65661,-88.31202,Entire home/apt,856,3,14,1/2/2020,0.28,5,339
4262174,Tropical jungle experience in Maya Beach,22121955,Herbert,Stann Creek,Stann Creek Mainland,16.61048,-88.35514,Entire home/apt,131,3,16,1/3/2020,0.21,3,282
4278981,Steps to the Ocean/Pool/Private Dock/Beach area,7508502,Debbie,Belize,Belize Islands,17.73632,-88.02601,Entire home/apt,419,2,133,10/23/2020,1.77,6,311
4304743,"DORMITORY Bed #1 of 6, on Maya Ruin",2084006,Lower Dover,Cayo,Cayo,17.21379,-88.94974,Shared room,36,1,1,2/10/2020,0.08,4,365
4304828,Casita Buena Vista beach guesthouse,22346166,Wolfgang,Belize,Belize Islands,17.8954,-87.977,Entire home/apt,288,1,27,6/8/2019,0.38,2,365
4333242,"Villa Casa Buena Vista, beach front",22346166,Wolfgang,Belize,Belize Islands,17.89448,-87.97721,Entire home/apt,363,1,33,2/8/2020,0.49,2,361
4376821,Downtown Beachfront Studio Suite,22501021,Damian,Stann Creek,Stann Creek Mainland,16.86627,-88.28529,Private room,201,1,8,3/19/2020,0.11,3,174
4392143,Kantara Ku-Resort Main Villa Room,22800660,Conrad,Cayo,Cayo,17.10922,-88.66082,Private room,151,1,11,11/5/2018,0.15,4,365
4412492,Kantara Ku-Resort Honeymoon Suite,22800660,Conrad,Cayo,Cayo,17.10981,-88.66028,Private room,302,1,2,7/4/2016,0.03,4,365
4416397,Parrot Nest Treehouse 1 (Gold Standard),22923135,Parrot Nest,Cayo,Cayo,17.174,-89.10828,Private room,111,2,195,2/15/2021,2.6,7,359
4454404,Weezie's Oceanfront Hotel Penthouse,6334784,Tom,Belize,Belize Islands,17.73529,-88.02708,Hotel room,542,1,13,8/29/2018,0.18,11,266
4480249,"Relax by the Ocean-Pool, AC, Dock-Caribbean Sunrise Villa",7508502,Debbie,Belize,Belize Islands,17.73673,-88.02563,Entire home/apt,398,2,111,3/11/2020,1.48,6,331
4480913,Studio Suite with Pool just steps to the Ocean,7508502,Debbie,Belize,Belize Islands,17.73628,-88.02771,Entire home/apt,234,2,98,12/17/2020,1.31,6,361
4485454,Kantara Ku- Jungle Resort Cottage,22800660,Conrad,Cayo,Cayo,17.1084,-88.65997,Entire home/apt,403,1,7,12/31/2019,0.1,4,365
4485763,Kantara Ku-Jungle Resort - Cabanas,22800660,Conrad,Cayo,Cayo,17.10942,-88.66053,Private room,71,1,19,2/25/2020,0.26,4,365
4491461,SEASIDE SUITE,23299192,Rainy,Belize,Belize Islands,17.73034,-88.03493,Entire home/apt,252,3,29,3/1/2020,0.38,2,360
