,Beat,CAD-Address,CAD-Street,CADAddress,CADStreet,Coded Month,CodedMonth,Complaint,Count,Crime,Date Crime Coded,Date Occur,DateOccur,Description,District,Flag Cleanup,Flag-Administrative,Flag-Crime,Flag-Unfounded,FlagAdministrative,FlagCleanup,FlagCrime,FlagUnfounded,ILEADS-Address,ILEADS-Street,ILEADSAddress,ILEADSStreet,ILeads Add,ILeads Approve,ILeads Asg,ILeads Type,Location Comment,Location Name,LocationComment,LocationName,Neighborhood,X-Coord,XCoord,Y-Coord,YCoord,lon,lat
21,,,,3726,ROSWELL,,2016-11,16-058046,1,69702,,,05/06/2016 12:50,LARCENY-ALL OTHER UNDER $500,1,,,,, , ,Y, ,,,3726,ROSWELL AVE,,,,,,, , ,4,,886535.8,,992089.9,-90.26804339344402,38.557973108232034
22,,,,1419,SHAWMUT,,2016-11,16-024049,-1,71013,,,05/19/2016 23:30,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5,,,,, , , , ,,,1481,SHAWMUT,,,,,,, , ,78,,0.0,,0.0,-93.26566300558045,35.8015057543744
23,,,,5000,THRUSH,,2016-11,16-055277,1,21000,,,05/27/2008 00:01,RAPE -- FORCIBLE,6,,,,, , ,Y, ,,,5000,BEACON AVE,,,,,,, , ,72,,0.0,,0.0,-93.26566300558045,35.8015057543744
24,,,,1916,OLIVE,,2016-11,16-046429,1,266400,,,05/27/2016 13:01,PUBLIC ORDER-ANIMAL VIOLATION,6,,,,, , ,Y, ,,,5616,PARK LN,,,,,,, , ,76,,890856.9,,1046462.0,-90.25241904612852,38.70724249055624
25,,,,1965,ARLINGTON,,2016-11,16-057348,1,69702,,,06/01/2016 12:00,LARCENY-ALL OTHER UNDER $500,5,,,,, , ,Y, ,,,1965,ARLINGTON AVE,,,,,,, , ,50,,886391.4,,1033373.0,-90.26818383662982,38.671333812430625
26,,,,1811,OLIVE,,2016-11,16-057985,1,121000,,,06/05/2009 08:00,EMBEZZLEMENT-VALUE OVER $150,4,,,,, , ,Y, ,,,1809,OLIVE ST,,,,,,, ,THE OLIVE STREET CURRENCY EXCHANGE,36,,904175.6,,1019019.0,-90.20605378012205,38.6317794126732
27,,,,4200,LINDELL,,2016-11,16-057173,1,21000,,,06/07/2016 13:00,RAPE -- FORCIBLE,5,,,,, , ,Y, ,,,4200,LINDELL BLVD,,,,,,, , ,38,,0.0,,0.0,-93.26566300558045,35.8015057543744
28,,,,2765,HICKORY,,2016-11,16-058683,1,65701,,,06/08/2016 08:00,LARCENY-MTR VEH PARTS UNDER $500,3,,,,, , ,Y, ,,,2765,HICKORY ST,,,,,,, , ,31,,899396.6,,1015316.0,-90.22282269969585,38.62165219761397
29,,,,1610,KINGSHIGHWAY,,2016-11,16-058026,1,266999,,,06/17/2016 11:00,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5,,,,, , ,Y, ,,,1610,N KINGSHIGHWAY BLVD,,,,,,,@WARWOOD APTS, ,55,,888692.6,,1030783.0,-90.26014732936808,38.66420572016132
30,,,,4036,SHREVE,,2016-11,16-059934,1,67701,,,06/18/2016 14:00,LARCENY-FROM BUILDING UNDER $500,6,,,,, , ,Y, ,,,4036,SHREVE AVE,,,,,,, , ,69,,893559.6,,1035465.0,-90.24305582482756,38.67702573194856
31,,,,6062,CATES,,2016-11,16-060428,1,67701,,,06/25/2016 15:00,LARCENY-FROM BUILDING UNDER $500,5,,,,, , ,Y, ,,,6062,CATES AVE,,,,,,, , ,48,,878771.2,,1028583.0,-90.29491208632665,38.658230844039316
32,,,,919,JEFFERSON,,2016-11,16-060481,1,265321,,,06/26/2016 00:30,LEAVING SCENE OF ACCIDENT,6,,,,, , ,Y, ,,,4688,POPE AVE,,,,,,, , ,68,,898752.8,,1036892.0,-90.224849607614,38.68090271169946
33,,,,6487,MANCHESTER,,2016-11,16-058006,1,115100,,,07/01/2016 15:37,FRAUD-STEALING BY DECEIT/OVER $150,2,,,,, , ,Y, ,,,6487,MANCHESTER AVE,,,,,,, ,COLOMBO S CHECK CASHING,43,,878180.7,,1014948.0,-90.2970856065512,38.62079404763873
34,,,,919,JEFFERSON,,2016-11,16-058633,1,115400,,,07/12/2013 12:00,STLG BY DECEIT/IDENTITY THEFT REPORT,3,,,,, , ,Y, ,,,2808,S COMPTON AVE,,,,,,, , ,25,,896080.4,,1009301.0,-90.23449093645766,38.605162504257486
35,,,,5708,KINGSBURY,,2016-11,16-059334,1,112010,,,07/12/2016 00:01,FRAUD-CREDIT DEVICE/OVER $150,5,,,,, , ,Y, ,,,5708,KINGSBURY PL,,,,,,, , ,46,,881536.7,,1026065.0,-90.28524797608627,38.65129929993698
36,,,,1325,GRAND,,2016-11,16-057531,1,115100,,,07/13/2016 13:00,FRAUD-STEALING BY DECEIT/OVER $150,2,,,,, , ,Y, ,,,1325,S GRAND BLVD,,,,,,,@SLU HOSPITAL,SAINT LOUIS UNIVERSITY HOSPITAL,29,,894902.8,,1015747.0,-90.2385475885362,38.62287188371898
37,,,,4100,GRAND,,2016-11,16-060552,1,171300,,,07/14/2015 12:00,SEX OFFNS-STATUATORY RAPE/SECOND,1,,,,, , ,Y, ,,,4100,S GRAND BLVD,,,,,,, , ,16,,0.0,,0.0,-93.26566300558045,35.8015057543744
38,,,,3343,VIRGINIA,,2016-11,16-046428,1,266400,,,07/17/2016 12:53,PUBLIC ORDER-ANIMAL VIOLATION,3,,,,, , ,Y, ,,,3343,VIRGINIA AVE,,,,,,, , ,30,,895023.4,,1005745.0,-90.23822526940992,38.59540637770812
39,,,,3448,OHIO,,2016-11,16-047776,-1,64601,,,07/21/2016 16:00,"LARCENY-FROM MTR VEH $500 - $24,999",3,,,,, , , , ,,,3448,OHIO,,,,,,, , ,19,,0.0,,0.0,-93.26566300558045,35.8015057543744
40,,,,7703,TENNESSEE,,2016-11,16-055845,1,115400,,,07/28/2016 13:03,STLG BY DECEIT/IDENTITY THEFT REPORT,1,,,,, , ,Y, ,,,7703,TENNESSEE AVE,,,,,,, , ,1,,886516.9,,989982.1,-90.26812808158496,38.552185349688266
41,,,,3800,MISSOURI,,2016-11,16-037215,1,21000,,,07/29/2016 13:34,RAPE -- FORCIBLE,3,,,,, , , , ,,,3800,MISSOURI,,,,,,, , ,18,,0.0,,0.0,-93.26566300558045,35.8015057543744
42,,,,915,HARLAN,,2016-11,16-037705,1,91113,,,07/31/2016 23:08,SIMPLE ASSAULT-ADULT/NO INJURY,6,,,,, , ,Y, ,,,915,HARLAN,,,,,,, , ,74,,0.0,,0.0,-93.26566300558045,35.8015057543744
43,,,,915,HARLAN,,2016-11,16-037705,1,91113,,,07/31/2016 23:08,SIMPLE ASSAULT-ADULT/NO INJURY,6,,,,, , ,Y, ,,,915,HARLAN,,,,,,, , ,74,,0.0,,0.0,-93.26566300558045,35.8015057543744
44,,,,4300,NEBRASKA,,2016-11,16-047607,1,43025,,,08/01/2016 00:01,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,1,,,,, , ,Y, ,,,4300,NEBRASKA AVE,,,,,,, , ,17,,895867.8,,999359.1,-90.2353351523629,38.57786458074634
45,,,,7500,BROADWAY,,2016-11,16-050202,1,171300,,,08/01/2016 09:00,SEX OFFNS-STATUATORY RAPE/SECOND,1,,,,, , ,Y, ,,,7500,S BROADWAY,,,,,,,RESIDENCE, ,2,,0.0,,0.0,-93.26566300558045,35.8015057543744
46,,,,3120,NEBRASKA,,2016-11,16-056771,1,266999,,,08/02/2016 10:42,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,3120,NEBRASKA AVE,,,,,,, , ,30,,897162.4,,1007449.0,-90.23072359433792,38.60006843000545
47,,,,3122,NEBRASKA,,2016-11,16-056761,1,266999,,,08/02/2016 16:25,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,3122,NEBRASKA AVE,,,,,,, , ,30,,897162.4,,1007449.0,-90.23072359433792,38.60006843000545
48,,,,1415,GRAND,,2016-11,16-038224,1,92000,,,08/02/2016 17:00,SIMPLE ASSAULT-HARRASSMENT,4,,,,, , , , ,,,1415,GRAND,,,,,,, ,CHECK N GO,59,,0.0,,0.0,-93.26566300558045,35.8015057543744
49,,,,1415,GRAND,,2016-11,16-038224,-1,91113,,,08/02/2016 17:00,SIMPLE ASSAULT-ADULT/NO INJURY,4,,,,, , , , ,,,1415,GRAND,,,,,,, ,CHECK N GO,59,,0.0,,0.0,-93.26566300558045,35.8015057543744
50,,,,2828,SALENA,,2016-11,16-051904,1,43015,,,08/05/2016 08:00,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,3,,,,, , ,Y, ,,,2828,SALENA ST,,,,,,, , ,22,,900862.9,,1007662.0,-90.21777271747473,38.60062279789084
51,,,,3827,ILLINOIS,,2016-11,16-058766,1,67701,,,08/10/2016 09:00,LARCENY-FROM BUILDING UNDER $500,3,,,,, , ,Y, ,,,3827,ILLINOIS AVE,,,,,,, , ,18,,899094.4,,1001923.0,-90.22402134120046,38.584878771751825
52,,,,1641,KINGSHIGHWAY,,2016-11,16-056786,1,117000,,,08/11/2016 15:45,FAILURE TO RETURN BORROWED/RENTED VEHICL,2,,,,, , ,Y, ,,,1641,S KINGSHIGHWAY BLVD,,,,,,, ,U-HAUL,12,,886712.8,,1014540.0,-90.2672254567071,38.6196181178734
53,,,,4055,LACLEDE,,2016-11,16-058383,1,112010,,,08/15/2016 00:01,FRAUD-CREDIT DEVICE/OVER $150,5,,,,, , ,Y, ,,,4055,LACLEDE AVE,,,,,,, , ,38,,892778.0,,1021017.0,-90.24593387406664,38.63735915275385
54,,,,1520,WASHINGTON,,2016-11,16-058301,1,67701,,,08/15/2016 17:45,LARCENY-FROM BUILDING UNDER $500,4,,,,, , ,Y, ,,,1520,WASHINGTON AVE,,,,,,, , ,36,,905250.6,,1019322.0,-90.2022871077867,38.632601901549755
55,,,,3080,HAWTHORNE,,2016-11,16-060644,1,265321,,,08/17/2016 06:00,LEAVING SCENE OF ACCIDENT,3,,,,, , ,Y, ,,,3080,HAWTHORNE BLVD,,,,,,, , ,26,,897132.6,,1011090.0,-90.23079051789216,38.610066518349115
56,,,,3648,KOSCIUSKO,,2016-11,16-059287,1,266999,,,08/19/2016 02:00,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,3648,KOSCIUSKO ST,,,,,,, , ,18,,901094.2,,1002717.0,-90.21701667012711,38.58704232134111
57,,,,3700,KOSCIUSKO,,2016-11,16-059291,1,266999,,,08/19/2016 10:00,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,3700,KOSCIUSKO ST,,,,,,, , ,18,,900610.6,,1002321.0,-90.21871279253058,38.58595901812266
58,,,,2607,GRAVOIS,,2016-11,16-056775,1,266999,,,08/20/2016 08:30,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,2607,GRAVOIS AVE,,,,,,, , ,24,,899242.4,,1009280.0,-90.22342607413964,38.60507921228633
59,,,,1215,KINGSHIGHWAY,,2016-11,16-058388,1,266999,,,08/20/2016 09:31,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5,,,,, , ,Y, ,,,1215,N KINGSHIGHWAY BLVD,,,,,,, , ,51,,888084.4,,1028777.0,-90.26229562193924,38.658701818351744
60,,,,3622,KOSCIUSKO,,2016-11,16-056780,1,266999,,,08/24/2016 23:20,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,3622,KOSCIUSKO ST,,,,,,, , ,18,,901262.9,,1002855.0,-90.21642498091344,38.587419828766706
61,,,,3949,LINDELL,,2016-11,16-055740,1,115200,,,08/25/2016 08:00,FRAUD-STEALING BY DECEIT/UNDER $150,5,,,,, , ,Y, ,,,3949,LINDELL BLVD,,,,,,, ,GOODIE CAFE,38,,893684.9,,1021926.0,-90.2427499283136,38.63984823259293
62,,,, , ,,2016-11,16-043302,-1,265321,,,08/29/2016 08:11,LEAVING SCENE OF ACCIDENT,3,,,,, , , , ,,, , ,,,,,,, , ,32,,0.0,,0.0,-93.26566300558045,35.8015057543744
63,,,,3944,LEXINGTON,,2016-11,16-055930,1,44021,,,08/30/2016 00:01,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 1ST DEGRE",6,,,,, , ,Y, ,,,3944,LEXINGTON AVE,,,,,,, , ,56,,898651.3,,1030291.0,-90.22527445227207,38.66277802943471
64,,,,700,CLARK,,2016-11,16-056514,1,103000,,,08/30/2016 16:00,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,4,,,,, , ,Y, ,,,700,CLARK AVE,,,,,,,@BUSCH STADIUM, ,35,,907901.1,,1016212.0,-90.19304486686232,38.624038214146054
65,,,,6200,VIRGINIA,,2016-11,16-043720,1,41014,,,08/31/2016 08:10,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,1,,,,, , ,Y, ,,,6200,VIRGINIA AVE,,,,,,, , ,1,,891603.1,,992837.2,-90.25031537461406,38.55998869095412
66,,,,3225,OSAGE,,2016-11,16-056782,1,266999,,,08/31/2016 13:14,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,3225,OSAGE ST,,,,,,, , ,16,,894551.9,,1001713.0,-90.23991495635218,38.58433852097851
67,,,,6060,NORTH POINTE,,2016-11,16-058124,1,65701,,,08/31/2016 20:00,LARCENY-MTR VEH PARTS UNDER $500,4,,,,, , ,Y, ,,,0,NATURAL BRIDGE AVE / PRAIRIE A,,,,,,, , ,59,,899378.6,,1030654.0,-90.22272346213613,38.663768773097004
68,,,,6060,NORTH POINTE,,2016-11,16-058124,-1,65701,,,08/31/2016 20:00,LARCENY-MTR VEH PARTS UNDER $500,4,,,,, , , , ,,,0,NATURAL BRIDGE AVE / PRAIRIE A,,,,,,, , ,59,,899378.6,,1030654.0,-90.22272346213613,38.663768773097004
69,,,,28,WESTMORELAND,,2016-11,16-057006,1,115400,,,09/01/2016 00:01,STLG BY DECEIT/IDENTITY THEFT REPORT,5,,,,, , ,Y, ,,,28,WESTMORELAND PL,,,,,,, , ,38,,886044.5,,1023952.0,-90.26948183052798,38.6454671818764
70,,,,6126,WASHINGTON,,2016-11,16-057873,1,51312,,,09/01/2016 09:00,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5,,,,, , ,Y, ,,,6126,WASHINGTON AVE,,,,,,, , ,46,,878106.5,,1027053.0,-90.29725170407872,38.654033680519454
71,,,,641,KINGSHIGHWAY,,2016-11,16-055359,1,117000,,,09/01/2016 11:27,FAILURE TO RETURN BORROWED/RENTED VEHICL,2,,,,, , , , ,,,1641,S KINGSHIGHWAY BLVD,,,,,,, ,U HAUL,12,,886712.8,,1014540.0,-90.2672254567071,38.6196181178734
72,,,,641,KINGSHIGHWAY,,2016-11,16-055359,-1,72113,,,09/01/2016 11:27,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,2,,,,, , , , ,,,1641,S KINGSHIGHWAY BLVD,,,,,,, ,U HAUL,12,,886712.8,,1014540.0,-90.2672254567071,38.6196181178734
73,,,,6051,MCPHERSON,,2016-11,16-057036,1,51322,,,09/01/2016 16:57,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5,,,,, , ,Y, ,,,6051,MCPHERSON AVE,,,,,,, , ,46,,878471.6,,1026199.0,-90.2959798525073,38.65168646099052
74,,,,3965,ASHLAND,,2016-11,16-055592,1,69602,,,09/01/2016 20:00,"LARCENY-ALL OTHER $500 - $24,999",6,,,,, , ,Y, ,,,3965,ASHLAND AVE,,,,,,, , ,56,,898279.9,,1030255.0,-90.22657554371543,38.66268222546779
75,,,,2851,GRAVOIS,,2016-11,16-057118,1,266999,,,09/04/2016 17:05,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,2851,GRAVOIS AVE,,,,,,,@QT - GRAVOIS / NEBRASKA, ,24,,897916.5,,1008451.0,-90.22807450559256,38.602813728965245
76,,,, , ,,2016-11,16-060116,1,71013,,,09/05/2016 23:00,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3,,,,, , ,Y, ,,,0,S GRAND BLVD / GRAVOIS AVE,,,,,,, , ,19,,893507.8,,1004763.0,-90.24353783331274,38.59272163019026
77,,,,4220,PENROSE,,2016-11,16-057034,1,67701,,,09/06/2016 12:00,LARCENY-FROM BUILDING UNDER $500,6,,,,, , ,Y, ,,,4220,PENROSE ST,,,,,,, , ,68,,897964.6,,1033951.0,-90.22764133996093,38.6728335631072
78,,,,520,JEFFERSON,,2016-11,16-044906,1,182400,,,09/06/2016 14:59,DRUGS-POSSESSION/MARIJUANA,4,,,,, , ,Y, ,,,520,S JEFFERSON AVE,,,,,,, , ,36,,901232.9,,1016974.0,-90.21637736414887,38.62618948959612
79,,,,2623,RUSSELL,,2016-11,16-057487,1,51322,,,09/06/2016 16:00,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3,,,,, , ,Y, ,,,3500,LEMP AVE,,,,,,, , ,18,,900612.3,,1004133.0,-90.21868743199538,38.590934596951875
80,,,,3801,HAMPTON,,2016-11,16-060832,1,121000,,,09/06/2016 21:33,EMBEZZLEMENT-VALUE OVER $150,2,,,,, , ,Y, ,,,3801,HAMPTON AVE,,,,,,,FYE,FYE,9,,879014.4,,1005452.0,-90.29424199422888,38.59471370725848
81,,,,205,DAVIS,,2016-11,16-059297,1,103000,,,09/08/2016 12:55,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1,,,,, , ,Y, ,,,205,E DAVIS ST,,,,,,,PROPACK,PROPACK,2,,888524.9,,986414.7,-90.2611388460786,38.542375362556356
82,,,,5553,HEBERT,,2016-11,16-060433,1,41013,,,09/09/2016 17:00,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5,,,,, , ,Y, ,,,5553,HEBERT ST,,,,,,, , ,50,,886867.8,,1036937.0,-90.26648339214759,38.68111681442223
83,,,,2851,GRAVOIS,,2016-11,16-057300,1,266999,,,09/09/2016 17:45,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,2851,GRAVOIS AVE,,,,,,,@QT - GRAVOIS / NEBRASKA, ,24,,897916.5,,1008451.0,-90.22807450559256,38.602813728965245
84,,,,1123,8TH,,2016-11,16-059296,1,266999,,,09/11/2016 13:59,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4,,,,, , ,Y, ,,,1123,N 8TH ST,,,,,,, , ,62,,908771.1,,1020385.0,-90.1899502601841,38.63548876687885
85,,,,800,WASHINGTON,,2016-11,16-060261,1,117000,,,09/12/2016 12:00,FAILURE TO RETURN BORROWED/RENTED VEHICL,4,,,,, , ,Y, ,,,800,WASHINGTON AVE,,,,,,, ,HERTZ,35,,908187.4,,1018534.0,-90.19201545759631,38.63041153159928
86,,,,3748,DELOR,,2016-11,16-046095,1,182999,,,09/12/2016 20:49,DRUGS-POSSESSION/OTHR UNSPEC DRUG,1,,,,, , ,Y, ,,,3748,DELOR ST,,,,,,, , ,16,,890428.1,,998187.1,-90.2543745914248,38.574687834824694
87,,,,3807,KINGSHIGHWAY,,2016-11,16-046337,-1,71013,,,09/13/2016 17:00,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2,,,,, , , , ,,,3807,KINGSHIGHWAY,,,,,,, , ,14,,0.0,,0.0,-93.26566300558045,35.8015057543744
88,,,,2851,GRAVOIS,,2016-11,16-057157,1,266999,,,09/14/2016 18:50,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3,,,,, , ,Y, ,,,2851,GRAVOIS AVE,,,,,,,@QT - GRAVOIS / NEBRASKA, ,24,,897916.5,,1008451.0,-90.22807450559256,38.602813728965245
89,,,,4615,LINDELL,,2016-11,16-059520,1,67701,,,09/15/2016 12:00,LARCENY-FROM BUILDING UNDER $500,5,,,,, , ,Y, ,,,4615,LINDELL BLVD,,,,,,,LOWER LEVEL PARKING GARAGE, ,38,,888735.2,,1023213.0,-90.26006747925615,38.64341902234013
90,,,,703,OFALLON,,2016-11,16-059304,1,266999,,,09/16/2016 15:00,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4,,,,, , ,Y, ,,,703,OFALLON ST,,,,,,, , ,62,,909288.7,,1021030.0,-90.18813054292067,38.63725504479338
91,,,,4261,BINGHAM,,2016-11,16-056818,1,65701,,,09/17/2016 02:00,LARCENY-MTR VEH PARTS UNDER $500,1,,,,, , ,Y, ,,,0,NEOSHO ST / S SPRING AVE,,,,,,, , ,16,,890758.7,,999631.8,-90.2532046049953,38.57865244104509
92,,,,4261,BINGHAM,,2016-11,16-056818,-1,65701,,,09/17/2016 02:00,LARCENY-MTR VEH PARTS UNDER $500,1,,,,, , , , ,,,0,NEOSHO ST / S SPRING AVE,,,,,,, , ,16,,890758.7,,999631.8,-90.2532046049953,38.57865244104509
93,,,,919,JEFFERSON,,2016-11,16-056020,1,64601,,,09/17/2016 15:30,"LARCENY-FROM MTR VEH $500 - $24,999",3,,,,, , ,Y, ,,,2732,S 13TH ST,,,,,,, , ,21,,901883.8,,1007666.0,-90.21420037119857,38.600625111986965
